ticker,start_date,end_date,days_of_data,total_return,annual_return,daily_return_mean,daily_return_median,daily_volatility,annual_volatility,downside_deviation,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,ulcer_index,var_95,cvar_95,var_99,cvar_99,skewness,kurtosis,current_price,high_52w,low_52w,beta,alpha,information_ratio
MEG.TO,2010-08-17,2025-10-03,3798,-7.890533049210724,17.286415359474535,0.06859688634712117,0.0,3.702625266904781,58.77735392576523,43.83698353928127,0.2175398262334768,0.2916810037355087,-97.68413051833951,0.17696237114204677,66.92604734738559,-4.994034102025907,-8.055517842002287,-9.422028312430305,-13.996661671910388,-0.29645450724592654,24.335784309010457,28.170000076293945,29.38736595750896,16.870182527859434,2.0798606687239936,6.400965926439768,0.1872338454532214
MFC.TO,1999-09-30,2025-10-03,6534,1087.0543223346208,14.199645864336228,0.05634780104895328,0.04867163582735756,1.919828992725308,30.476340447136778,23.596487624776767,0.3182680637513189,0.4110631217059361,-77.96923981086927,0.18211856238152951,31.792197207820642,-2.6637265327833863,-4.443758175336448,-5.064240979026644,-8.191604242639507,0.011516600872889818,14.445343258843273,44.56999969482422,45.42988472907245,36.18127649830424,1.1148809099179153,6.276812892306329,0.29480626797608056
MFI.TO,1996-05-08,2025-10-03,7389,776.8539747649315,11.751729011726226,0.046633845284627884,0.0,1.856573787480174,29.47219519388294,21.0169954270446,0.24605323641556737,0.34504118521121846,-66.93803606953502,0.17556130567557388,32.19926640201657,-2.680137959580459,-4.1170766351903945,-4.703491263026124,-6.959159428173171,0.07545282654314228,8.591144684909782,31.229999542236328,32.27555465698242,17.00064208628158,0.3961949331431668,6.035357766645479,0.13987497567846133
MG.TO,2004-12-01,2025-10-03,5232,387.6653329647585,13.129134785036573,0.05209974121046258,0.058036141128736674,2.0867291611048797,33.1257984829797,24.43046147626856,0.2604959028978665,0.353212107492067,-73.47990027261339,0.17867654605309688,27.91334454096346,-3.099953413030106,-4.850573016875233,-5.720394511374083,-7.940158189966125,0.01681332205789498,8.722854484841605,68.33999633789062,68.36000061035156,42.21289737769317,0.987521772716902,5.597311337183569,0.20437486179024883
MRU.TO,1995-01-12,2025-10-03,7723,14395.78740316835,18.6240361064618,0.07390490518437222,0.0,1.3788156729438166,21.888020246445052,14.600797189600712,0.645286140429067,0.9673469142165416,-46.697502330234556,0.3988229600537664,10.770295687116189,-1.8825196291169164,-2.945238539892826,-3.5664178935448687,-4.783486790758528,0.780485228995255,8.79276713870377,93.06999969482422,108.7896824147107,80.1017308756602,0.30308049105619733,13.193538607816366,0.44274519538674695
MTL.TO,1996-04-25,2025-10-03,7398,1092.873615874088,14.734095389855565,0.05846863249942684,0.0,2.235486142032907,35.48724234690172,25.782170578959796,0.2883880153271213,0.39694467766059083,-83.37293420658693,0.17672516302888483,35.12483666039577,-3.167697867110929,-5.06084676149591,-5.904267734300968,-8.669311630326062,0.21287973573735908,7.185354770363411,14.130000114440918,15.26261691852842,11.45446991748006,0.6913357855721237,8.111602394819279,0.21325854157062465
MTY.TO,2010-05-13,2025-10-03,3861,308.09311101405837,15.211309021437849,0.06036233738665813,0.0,2.1698375774050604,34.44510369129992,27.6966593711826,0.3109675359793819,0.38673649691423034,-77.02591887929691,0.19748299329313626,21.69264304882435,-2.662993316514104,-4.762921643237515,-5.771179369654251,-9.400012792312076,-0.37262265759038,39.75548290635648,38.959999084472656,51.94786478370721,36.19614550114012,0.8974168904883315,7.956119570175145,0.2507937486386347
MX.TO,1995-01-12,2025-10-03,7723,328.9114933547415,13.111205437894977,0.052028593007519754,0.0,2.580489496653472,40.96400081375598,28.281612561017237,0.210213974876284,0.3044807087755836,-88.84099829492766,0.14758057304094427,40.521255201533144,-3.8461943023193763,-5.749403556103857,-6.799611055091592,-9.166956123348296,0.36516382827630034,7.437391986361849,53.81999969482422,77.03752881228539,35.747861629128735,1.0353860182650256,5.432432377409791,0.14038579981604218
NA.TO,1995-01-12,2025-10-03,7723,11810.769867934496,18.353665913319443,0.07283200759253747,0.04139764517921973,1.4796438637106941,23.488618153927472,17.488460426386112,0.5898033601863039,0.7921604060936894,-58.47483223803505,0.31387291268501105,12.660015028112028,-2.0303634021671577,-3.2544551499998473,-3.9525223408983243,-5.674363226253835,0.4699522699798224,18.49487409711086,151.19000244140625,153.7858415904798,104.94008998431006,0.8226254504683858,11.32809615026605,0.541176743756835
NFI.TO,2012-01-24,2025-10-03,3438,305.5941509319638,18.680666155105925,0.07412962759962669,0.02945760371786399,2.572494174226022,40.83707900498712,32.17274995830971,0.34724976664893564,0.4407663682303068,-86.02744988813204,0.21714773806962542,46.45338707120247,-3.219067943541238,-5.543515883265636,-5.788829547469765,-11.34741061426898,0.06155902004116574,29.114242555024056,15.720000267028809,19.899999618530277,9.829999923706056,0.9070609544252636,11.39586814230625,0.28542667876890065
NGD.TO,1996-08-08,2025-10-03,7326,977.8947262750768,33.58159753263411,0.133260307669183,0.0,4.527315582403801,71.86890682648806,52.221849687265134,0.40464783474229477,0.5568856275063344,-95.15789475357322,0.3529039563096589,65.64750956063236,-5.93219799613216,-9.987938400920402,-12.761954248732394,-17.43398306876879,1.0659997864382926,17.153416538628072,10.239999771118164,10.59000015258789,3.430000066757202,0.9545435399159258,26.15102165444196,0.3705403366089523
NG.TO,1996-08-13,2025-10-03,7323,506.521743412054,47.385847491626755,0.1880390773477252,0.0,5.771243301169338,91.61564718324907,64.58741260258557,0.46810614573127163,0.6639969889413088,-97.31743644326556,0.48692042478175956,62.9588731736054,-6.970415374806555,-12.321729849716895,-15.384610446952319,-21.986491300028305,1.545772977093034,24.40526742504226,13.949999809265137,14.539999961853027,3.220000028610229,0.796750694582487,40.439716677434724,0.4384008143819224
NPI.TO,2003-10-09,2025-10-03,5521,857.4009967729774,13.268307240542217,0.052652012859294516,0.028914883008701597,1.5287155451249506,24.267606946554952,18.43434964907484,0.36131734207879834,0.47565047899491647,-62.11367529609161,0.21361330137514986,19.721052180920875,-2.1489426564539684,-3.514402718658284,-3.9980092817658583,-6.245019464432473,-0.19654671388095174,11.083247401420198,24.38999938964844,24.8700008392334,15.5310376843623,0.5285020848544207,7.14573540732333,0.23092667494558092
